protocol,tool,run,time_hour,coverage
Forked-daapd,AFLNWE,9,23,117
Forked-daapd,AFLNWE,9,24,132
Forked-daapd,AFLNWE,10,0,0
Forked-daapd,AFLNWE,10,1,16
Forked-daapd,AFLNWE,10,2,30
Forked-daapd,AFLNWE,10,3,64
Forked-daapd,AFLNWE,10,4,81
Forked-daapd,AFLNWE,10,5,88
Forked-daapd,AFLNWE,10,6,88
Forked-daapd,AFLNWE,10,7,88
Forked-daapd,AFLNWE,10,8,96
Forked-daapd,AFLNWE,10,9,96
Forked-daapd,AFLNWE,10,10,96
Forked-daapd,AFLNWE,10,11,96
Forked-daapd,AFLNWE,10,12,96
Forked-daapd,AFLNWE,10,13,114
Forked-daapd,AFLNWE,10,14,125
Forked-daapd,AFLNWE,10,15,128
Forked-daapd,AFLNWE,10,16,143
Forked-daapd,AFLNWE,10,17,147
Forked-daapd,AFLNWE,10,18,147
Forked-daapd,AFLNWE,10,19,162
Forked-daapd,AFLNWE,10,20,169
Forked-daapd,AFLNWE,10,21,169
Forked-daapd,AFLNWE,10,22,169
Forked-daapd,AFLNWE,10,23,169
Forked-daapd,AFLNWE,10,24,169
Forked-daapd,SNPSFuzzer-tmp,1,0,7
Forked-daapd,SNPSFuzzer-tmp,1,1,177
Forked-daapd,SNPSFuzzer-tmp,1,2,280
Forked-daapd,SNPSFuzzer-tmp,1,3,370
Forked-daapd,SNPSFuzzer-tmp,1,4,428
Forked-daapd,SNPSFuzzer-tmp,1,5,472
Forked-daapd,SNPSFuzzer-tmp,1,6,503
Forked-daapd,SNPSFuzzer-tmp,1,7,523
Forked-daapd,SNPSFuzzer-tmp,1,8,544
Forked-daapd,SNPSFuzzer-tmp,1,9,553
Forked-daapd,SNPSFuzzer-tmp,1,10,568
Forked-daapd,SNPSFuzzer-tmp,1,11,577
Forked-daapd,SNPSFuzzer-tmp,1,12,582
Forked-daapd,SNPSFuzzer-tmp,1,13,582
Forked-daapd,SNPSFuzzer-tmp,1,14,582
Forked-daapd,SNPSFuzzer-tmp,1,15,592
Forked-daapd,SNPSFuzzer-tmp,1,16,600
Forked-daapd,SNPSFuzzer-tmp,1,17,600
Forked-daapd,SNPSFuzzer-tmp,1,18,603
Forked-daapd,SNPSFuzzer-tmp,1,19,611
Forked-daapd,SNPSFuzzer-tmp,1,20,611
Forked-daapd,SNPSFuzzer-tmp,1,21,617
Forked-daapd,SNPSFuzzer-tmp,1,22,617
Forked-daapd,SNPSFuzzer-tmp,1,23,623
Forked-daapd,SNPSFuzzer-tmp,1,24,623
Forked-daapd,SNPSFuzzer-tmp,2,0,0
Forked-daapd,SNPSFuzzer-tmp,2,1,142
Forked-daapd,SNPSFuzzer-tmp,2,2,256
Forked-daapd,SNPSFuzzer-tmp,2,3,343
Forked-daapd,SNPSFuzzer-tmp,2,4,400
Forked-daapd,SNPSFuzzer-tmp,2,5,452
Forked-daapd,SNPSFuzzer-tmp,2,6,475
Forked-daapd,SNPSFuzzer-tmp,2,7,501
Forked-daapd,SNPSFuzzer-tmp,2,8,512
Forked-daapd,SNPSFuzzer-tmp,2,9,523
Forked-daapd,SNPSFuzzer-tmp,2,10,535
Forked-daapd,SNPSFuzzer-tmp,2,11,538
Forked-daapd,SNPSFuzzer-tmp,2,12,542
Forked-daapd,SNPSFuzzer-tmp,2,13,556
Forked-daapd,SNPSFuzzer-tmp,2,14,557
Forked-daapd,SNPSFuzzer-tmp,2,15,567
Forked-daapd,SNPSFuzzer-tmp,2,16,567
Forked-daapd,SNPSFuzzer-tmp,2,17,574
Forked-daapd,SNPSFuzzer-tmp,2,18,588
Forked-daapd,SNPSFuzzer-tmp,2,19,588
Forked-daapd,SNPSFuzzer-tmp,2,20,588
Forked-daapd,SNPSFuzzer-tmp,2,21,595
Forked-daapd,SNPSFuzzer-tmp,2,22,595
Forked-daapd,SNPSFuzzer-tmp,2,23,599
Forked-daapd,SNPSFuzzer-tmp,2,24,599
Forked-daapd,SNPSFuzzer-tmp,3,0,1
Forked-daapd,SNPSFuzzer-tmp,3,1,154
Forked-daapd,SNPSFuzzer-tmp,3,2,278
Forked-daapd,SNPSFuzzer-tmp,3,3,365
Forked-daapd,SNPSFuzzer-tmp,3,4,431
Forked-daapd,SNPSFuzzer-tmp,3,5,475
Forked-daapd,SNPSFuzzer-tmp,3,6,507
Forked-daapd,SNPSFuzzer-tmp,3,7,531
Forked-daapd,SNPSFuzzer-tmp,3,8,554
Forked-daapd,SNPSFuzzer-tmp,3,9,567
Forked-daapd,SNPSFuzzer-tmp,3,10,581
Forked-daapd,SNPSFuzzer-tmp,3,11,607
Forked-daapd,SNPSFuzzer-tmp,3,12,622
Forked-daapd,SNPSFuzzer-tmp,3,13,625
Forked-daapd,SNPSFuzzer-tmp,3,14,640
Forked-daapd,SNPSFuzzer-tmp,3,15,640
Forked-daapd,SNPSFuzzer-tmp,3,16,640
Forked-daapd,SNPSFuzzer-tmp,3,17,640
Forked-daapd,SNPSFuzzer-tmp,3,18,640
Forked-daapd,SNPSFuzzer-tmp,3,19,640
Forked-daapd,SNPSFuzzer-tmp,3,20,642
Forked-daapd,SNPSFuzzer-tmp,3,21,657
Forked-daapd,SNPSFuzzer-tmp,3,22,662
Forked-daapd,SNPSFuzzer-tmp,3,23,662
Forked-daapd,SNPSFuzzer-tmp,3,24,670
Forked-daapd,SNPSFuzzer-tmp,4,0,0
Forked-daapd,SNPSFuzzer-tmp,4,1,157
Forked-daapd,SNPSFuzzer-tmp,4,2,277
Forked-daapd,SNPSFuzzer-tmp,4,3,350
Forked-daapd,SNPSFuzzer-tmp,4,4,423
Forked-daapd,SNPSFuzzer-tmp,4,5,473
Forked-daapd,SNPSFuzzer-tmp,4,6,505
Forked-daapd,SNPSFuzzer-tmp,4,7,538
Forked-daapd,SNPSFuzzer-tmp,4,8,576
Forked-daapd,SNPSFuzzer-tmp,4,9,594
Forked-daapd,SNPSFuzzer-tmp,4,10,608
Forked-daapd,SNPSFuzzer-tmp,4,11,614
Forked-daapd,SNPSFuzzer-tmp,4,12,614
Forked-daapd,SNPSFuzzer-tmp,4,13,627
Forked-daapd,SNPSFuzzer-tmp,4,14,627
Forked-daapd,SNPSFuzzer-tmp,4,15,631
Forked-daapd,SNPSFuzzer-tmp,4,16,631
Forked-daapd,SNPSFuzzer-tmp,4,17,638
Forked-daapd,SNPSFuzzer-tmp,4,18,643
Forked-daapd,SNPSFuzzer-tmp,4,19,654
Forked-daapd,SNPSFuzzer-tmp,4,20,654
Forked-daapd,SNPSFuzzer-tmp,4,21,654
Forked-daapd,SNPSFuzzer-tmp,4,22,654
Forked-daapd,SNPSFuzzer-tmp,4,23,654
Forked-daapd,SNPSFuzzer-tmp,4,24,658
Forked-daapd,SNPSFuzzer-tmp,5,0,6
Forked-daapd,SNPSFuzzer-tmp,5,1,153
Forked-daapd,SNPSFuzzer-tmp,5,2,275
Forked-daapd,SNPSFuzzer-tmp,5,3,370
Forked-daapd,SNPSFuzzer-tmp,5,4,437
Forked-daapd,SNPSFuzzer-tmp,5,5,500
Forked-daapd,SNPSFuzzer-tmp,5,6,529
Forked-daapd,SNPSFuzzer-tmp,5,7,546
Forked-daapd,SNPSFuzzer-tmp,5,8,553
Forked-daapd,SNPSFuzzer-tmp,5,9,581
Forked-daapd,SNPSFuzzer-tmp,5,10,598
Forked-daapd,SNPSFuzzer-tmp,5,11,607
Forked-daapd,SNPSFuzzer-tmp,5,12,617
Forked-daapd,SNPSFuzzer-tmp,5,13,617
Forked-daapd,SNPSFuzzer-tmp,5,14,641
Forked-daapd,SNPSFuzzer-tmp,5,15,646
Forked-daapd,SNPSFuzzer-tmp,5,16,650
Forked-daapd,SNPSFuzzer-tmp,5,17,659
Forked-daapd,SNPSFuzzer-tmp,5,18,665
Forked-daapd,SNPSFuzzer-tmp,5,19,669
Forked-daapd,SNPSFuzzer-tmp,5,20,669
Forked-daapd,SNPSFuzzer-tmp,5,21,675
Forked-daapd,SNPSFuzzer-tmp,5,22,691
Forked-daapd,SNPSFuzzer-tmp,5,23,703
Forked-daapd,SNPSFuzzer-tmp,5,24,717
Forked-daapd,SNPSFuzzer-tmp,6,0,0
Forked-daapd,SNPSFuzzer-tmp,6,1,147
Forked-daapd,SNPSFuzzer-tmp,6,2,260
Forked-daapd,SNPSFuzzer-tmp,6,3,345
Forked-daapd,SNPSFuzzer-tmp,6,4,418
Forked-daapd,SNPSFuzzer-tmp,6,5,452
Forked-daapd,SNPSFuzzer-tmp,6,6,500
